订单号,诉求类型,申报金额,申请日期,说明
ORD-2026-1045,质量问题,,2026-06-27,客户原话：减速机漏油，箱体接缝那里一直在渗
ORD-2026-1046,质量问题,914.84,2026-03-01,客户原话：法兰盘端面不平，跟管道贴不上，漏水
ORD-2026-1047,七天无理由,15176.5,2026-02-09,客户原话：下单太急没看清，其实我们不需要这个
ORD-2026-1048,质量问题,20450.57,2026-09-10,客户原话：刚开机就冒烟了，吓死我了
ORD-2026-1049,质量问题,40792.23,2026-01-13,客户原话：按合同办
ORD-2026-1050,七天无理由,,2026-03-26,客户原话：样品测完了，剩下的整单退
ORD-2026-1051,发错货,2469.28,2026-06-22,客户原话：我买了三样，只到了两样，少发一件
ORD-2026-1052,质量问题,117749.33,2026-09-10,客户原话：东西是次品吧，做工太粗糙了
ORD-2026-1053,七天无理由,188711.12,2026-07-30,客户原话：能不能取消这个订单
ORD-2026-1054,质量问题,,2026-02-23,客户原话：装上以后一直报警，代码 E03，查手册说是内部故障
ORD-2026-1055,质量问题,,2026-08-28,客户原话：包装完好但里面的件已经断成两截了
ORD-2026-1056,质量问题,3176.84,2026-09-09,客户原话：催一下
ORD-2026-1057,发错货,,2026-03-08,客户原话：订单写的不锈钢，来的是碳钢的
ORD-2026-1058,七天无理由,,2026-05-20,客户原话：我反悔了行不行
ORD-2026-1059,质量问题,,2026-05-07,客户原话：还是老问题
